,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
209,John Henson,C,24,MIL,67,11,1228,8.1,14.4,0.5660000000000001,0.0,0.0,,8.1,14.4,0.5660000000000001,3.2,5.7,0.569,5.2,7.8,13.0,2.5,1.2,5.6,3.6,6.3,19.5,106,98,18.0,0.578,0.0,0.396,11.7,17.4,14.5,7.8,1.2,9.3,17.6,18.1,1.3,2.4,3.6,0.142,-1.9,4.6,2.7,1.5,2015
210,Roy Hibbert,C,28,IND,76,76,1926,8.5,19.0,0.446,0.0,0.1,0.0,8.5,18.9,0.44799999999999995,4.5,5.5,0.8240000000000001,4.2,10.3,14.4,2.2,0.5,3.3,2.9,5.8,21.5,101,101,15.4,0.501,0.003,0.287,9.0,21.9,15.5,7.4,0.5,5.1,11.8,21.3,1.0,3.2,4.2,0.105,-3.1,2.1,-1.0,0.5,2015
211,J.J. Hickson,C,26,DEN,73,8,1411,7.7,16.2,0.475,0.0,0.1,0.0,7.7,16.2,0.47700000000000004,4.1,7.1,0.5770000000000001,5.3,10.7,16.0,2.0,1.3,1.2,3.4,4.8,19.5,100,106,14.3,0.504,0.004,0.43799999999999994,11.1,24.0,17.3,6.5,1.3,1.9,14.9,19.7,0.5,1.4,1.8,0.062,-3.1,0.4,-2.7,-0.3,2015
212,Nene Hilario,PF,32,WAS,67,58,1693,9.3,18.2,0.511,0.0,0.2,0.2,9.3,18.0,0.513,3.7,6.1,0.604,2.5,7.9,10.4,3.7,2.0,0.7,3.8,5.4,22.3,100,102,14.3,0.534,0.008,0.336,5.7,17.0,11.5,12.0,2.0,1.0,15.2,21.8,0.5,2.5,3.0,0.086,-1.9,1.3,-0.6,0.6,2015
213,George Hill,PG,28,IND,43,36,1267,10.4,21.8,0.47700000000000004,2.8,7.8,0.358,7.6,13.9,0.544,4.6,5.8,0.79,1.0,6.3,7.3,8.9,1.8,0.6,2.8,4.5,28.1,117,103,21.5,0.579,0.361,0.267,2.2,13.3,7.8,31.4,1.8,0.9,10.3,23.8,3.7,1.6,5.4,0.203,5.4,0.2,5.6,2.4,2015
214,Jordan Hill,C,27,LAL,70,57,1874,9.7,21.2,0.45899999999999996,0.1,0.3,0.273,9.6,20.9,0.462,3.4,4.6,0.738,4.7,10.4,15.2,2.8,0.9,1.4,2.9,4.5,22.9,101,109,16.2,0.494,0.013999999999999999,0.21600000000000003,9.9,23.4,16.4,9.5,0.9,2.3,11.1,22.7,1.1,1.1,2.2,0.055,-2.0,-0.6,-2.6,-0.3,2015
215,Solomon Hill,SF,23,IND,82,78,2381,5.4,13.7,0.396,1.5,4.5,0.327,4.0,9.2,0.43,3.4,4.2,0.8240000000000001,1.5,5.3,6.8,4.0,1.4,0.4,2.5,3.8,15.8,101,105,10.2,0.507,0.32799999999999996,0.304,3.3,11.2,7.3,11.9,1.4,0.6,13.8,15.9,0.9,2.6,3.5,0.07200000000000001,-1.1,0.8,-0.3,1.0,2015
216,Kirk Hinrich,SG,34,CHI,66,22,1610,4.6,12.2,0.373,1.9,5.4,0.345,2.7,6.8,0.39399999999999996,1.1,1.6,0.7,0.6,3.2,3.9,4.8,1.5,0.4,2.3,4.6,12.1,95,108,6.8,0.46799999999999997,0.441,0.131,1.4,6.6,4.1,13.8,1.5,0.6,15.3,13.3,-0.3,1.3,1.0,0.03,-2.3,-0.6,-2.8,-0.3,2015
217,Jrue Holiday,PG,24,NOP,40,37,1303,9.6,21.5,0.446,2.1,5.4,0.37799999999999995,7.5,16.1,0.469,2.6,3.1,0.855,1.3,4.2,5.4,11.0,2.5,0.9,3.7,4.4,23.9,109,107,18.8,0.522,0.253,0.142,2.8,9.0,5.9,34.9,2.5,1.3,13.8,23.1,2.3,1.1,3.4,0.124,3.0,-0.7,2.3,1.4,2015
218,Justin Holiday,SG,25,GSW,59,4,657,6.8,17.5,0.387,2.6,8.1,0.321,4.2,9.4,0.444,2.8,3.3,0.8220000000000001,0.9,4.5,5.4,3.6,3.0,0.9,2.2,4.0,18.9,100,101,12.1,0.498,0.46399999999999997,0.191,2.0,9.7,6.0,10.1,3.0,1.4,10.2,18.8,0.2,1.0,1.3,0.092,-1.4,0.5,-1.0,0.2,2015
